Date,Open,High,Low,Close,Volume,Change,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,com_name,com_code,vol_mean_60,vol_std_60,vol_bolin_check,mean_60,std_60,bolin_check,high_246,new_high_check,pump_date,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,dump_period,구독자_요청_종목
2020-01-23,464005,487230,453133,477347,443722,6.858364487027378,444338.2,9191.200000000012,426647.6,2989.5999999999767,402986.0833333333,1400.083333333314,삼성바이오로직스,207940,100895.31666666668,57326.73516425747,True,402986.0833333333,19876.70311414447,True,448686.0,True,2020-01-28,2020-01-23,471417.0,493159.0,470429.0,488218.0,323856.0,2.277378929793211,487230.0,455604.6,11266.399999999963,430452.5,3804.9000000000233,404526.1666666667,1540.083333333372,5,True
2020-01-28,471417,493159,470429,488218,323856,2.277378929793211,455604.6,11266.399999999963,430452.5,3804.9000000000233,404526.1666666667,1540.083333333372,삼성바이오로직스,207940,104861.75,71246.71025783251,True,404526.1666666667,22691.97997961984,True,487230.0,True,2020-02-06,2020-01-28,491677.0,516879.0,488218.0,512926.0,301786.0,5.918453739171734,494148.0,487329.0,4743.799999999988,454863.5,4941.5,415323.3333333333,1886.0,9,True
2020-04-10,494148,595942,488712,552458,3073541,16.823429900613238,489108.0,18085.79999999999,450737.4,5065.050000000047,471738.63333333336,2050.7166666666744,삼성바이오로직스,207940,231144.46666666667,143818.50321038964,True,471738.63333333336,34057.98675935706,True,535656.0,True,2020-05-13,2020-04-10,582106.0,611755.0,581118.0,608791.0,516513.0,4.054030956873684,600884.0,582897.4,8104.0,568270.55,6794.550000000047,499312.1166666666,1416.5666666666511,33,True
2021-05-13,834122,894408,833133,855865,610733,1.1682281656110889,822065.0,16405.800000000047,803188.55,3755.550000000047,758204.5833333334,1153.016666666721,삼성바이오로직스,207940,106138.05,108894.53000712227,True,758204.5833333334,41989.635513851536,True,872665.0,True,2021-05-14,2021-05-13,890455.0,936905.0,855864.0,936905.0,1022555.0,9.468783044054844,894408.0,850528.0,28463.0,810205.45,7016.899999999907,760872.9833333333,2668.399999999907,1,True
2021-05-14,890455,936905,855864,936905,1022555,9.468783044054844,850528.0,28463.0,810205.45,7016.899999999907,760872.9833333333,2668.399999999907,삼성바이오로직스,207940,114820.36666666668,126855.6552921158,True,760872.9833333333,47867.30079436945,True,894408.0,True,2021-08-11,2021-05-14,945799.0,968530.0,931963.0,963589.0,280699.0,2.9566724399706383,972483.0,921487.8,14231.400000000023,898164.0,5485.050000000047,857907.35,1334.1999999999534,89,True
2021-08-10,909232,972483,904291,935917,529824,4.180386080444186,907256.4,7511.0,892678.95,4052.04999999993,856573.15,1202.4333333333489,삼성바이오로직스,207940,129454.93333333332,101077.46184978882,True,856573.15,30541.208635370425,True,936905.0,True,2021-08-17,2021-08-10,982366.0,1008062.0,978413.0,1000156.0,326405.0,2.950195317526081,978413.0,966356.2,20358.79999999993,911901.25,4743.800000000047,863787.7166666667,2536.6333333333023,7,True
2024-01-02,760000,800000,756000,789000,199238,3.819999933242798,744000.0,15400.0,716300.0,3200.0,719200.0,1633.333333333372,삼성바이오로직스,207940,56318.46666666667,29861.21454695492,True,719200.0,14918.763069546492,True,833000.0,False,2024-01-29,2024-01-02,800000.0,815000.0,793000.0,800000.0,194799.0,3.490000009536743,830000.0,789000.0,1400.0,769400.0,2000.0,734883.3333333334,1616.6666666667445,27,True
2024-07-24,845000,890000,836000,883000,271622,4.127358490566038,852800.0,6400.0,811750.0,7700.0,776266.6666666666,1716.666666666628,삼성바이오로직스,207940,69600.96666666666,42578.30006715976,True,776266.6666666666,37572.919686727386,True,880000.0,True,2024-07-26,2024-07-24,873000.0,929000.0,872000.0,915000.0,249017.0,5.05166475315729,890000.0,873000.0,16000.0,828100.0,9400.0,780283.3333333334,2333.333333333372,2,True
2024-07-26,873000,929000,872000,915000,249017,5.05166475315729,873000.0,16000.0,828100.0,9400.0,780283.3333333334,2333.333333333372,삼성바이오로직스,207940,74944.51666666666,52193.59990328487,True,780283.3333333334,43277.61846366968,True,890000.0,True,2024-07-29,2024-07-26,919000.0,950000.0,915000.0,940000.0,145349.0,2.73224043715847,929000.0,891400.0,18400.0,837150.0,9050.0,782933.3333333334,2650.0,3,True
2020-11-11,10100,10200,10000,10100,196985,0.4975124378109453,9904.0,76.0,9606.5,39.0,9383.666666666666,8.5,메리츠금융지주,138040,62779.3,40125.68855876823,True,9383.666666666666,253.93157136875257,True,12700.0,False,2020-11-16,2020-11-11,10150.0,10700.0,10150.0,10550.0,245860.0,4.455445544554455,12700.0,10170.0,154.0,9761.5,63.0,9426.0,24.0,5,True
